Time,Biomass Total, Bio Plants, Bio Herb, Bio Pred1, Bio Pred2, Pop Plants, Pop Herb, Pop Pred1, Pop Pred2,Alien Plant, Alien Herb, Alien Pred, Alien Apex, White Rabbit, Fox, Red fox, Grass, 
1.0, 0, 0, 0, 0, 0, 151, 50, 12, 0, 0, 0, 0, 0, 50, 6, 6, 151
2.0, 830, 337, 254, 239, 0, 151, 50, 12, 0, 0, 0, 0, 0, 50, 6, 6, 151
3.0, 833, 339, 254, 239, 0, 151, 50, 12, 0, 0, 0, 0, 0, 50, 6, 6, 151
4.0, 840, 346, 254, 239, 0, 151, 50, 12, 0, 0, 0, 0, 0, 50, 6, 6, 151
5.0, 845, 351, 254, 239, 0, 151, 50, 12, 0, 0, 0, 0, 0, 50, 6, 6, 151
6.0, 851, 357, 254, 239, 0, 151, 50, 12, 0, 0, 0, 0, 0, 50, 6, 6, 151
7.0, 856, 363, 254, 239, 0, 151, 50, 12, 0, 0, 0, 0, 0, 50, 6, 6, 151
8.0, 862, 368, 254, 239, 0, 151, 50, 12, 0, 0, 0, 0, 0, 50, 6, 6, 151
9.0, 868, 374, 254, 239, 0, 151, 50, 12, 0, 0, 0, 0, 0, 50, 6, 6, 151
10.0, 872, 379, 254, 239, 0, 151, 50, 12, 0, 0, 0, 0, 0, 50, 6, 6, 151
11.0, 873, 379, 254, 239, 0, 149, 50, 12, 0, 0, 0, 0, 0, 50, 6, 6, 149
12.0, 877, 383, 254, 239, 0, 147, 50, 12, 0, 0, 0, 0, 0, 50, 6, 6, 147
13.0, 877, 384, 254, 239, 0, 144, 50, 12, 0, 0, 0, 0, 0, 50, 6, 6, 144
14.0, 878, 385, 254, 239, 0, 140, 49, 12, 0, 0, 0, 0, 0, 49, 6, 6, 140
15.0, 878, 385, 253, 239, 0, 132, 49, 12, 0, 0, 0, 0, 0, 49, 6, 6, 132
16.0, 880, 387, 253, 239, 0, 129, 49, 12, 0, 0, 0, 0, 0, 49, 6, 6, 129
17.0, 879, 387, 252, 239, 0, 128, 48, 12, 0, 0, 0, 0, 0, 48, 6, 6, 128
18.0, 877, 387, 250, 239, 0, 127, 48, 12, 0, 0, 0, 0, 0, 48, 6, 6, 127
19.0, 875, 390, 246, 239, 0, 127, 46, 12, 0, 0, 0, 0, 0, 46, 6, 6, 127
20.0, 868, 384, 244, 239, 0, 126, 46, 12, 0, 0, 0, 0, 0, 46, 6, 6, 126
21.0, 859, 376, 243, 239, 0, 126, 46, 12, 0, 0, 0, 0, 0, 46, 6, 6, 126
22.0, 859, 378, 242, 238, 0, 126, 45, 12, 0, 0, 0, 0, 0, 45, 6, 6, 126
23.0, 854, 379, 236, 238, 0, 126, 45, 12, 0, 0, 0, 0, 0, 45, 6, 6, 126
