Time,Biomass Total, Bio Plants, Bio Herb, Bio Pred1, Bio Pred2, Pop Plants, Pop Herb, Pop Pred1, Pop Pred2,Grass, Tree, Alien Plant, Alien Herb, Alien Pred, Alien Apex, White Rabbit, Red rabbit, Blue rabbit, Yellow rabbit, Green rabbit, Red grass, Blue grass, Yellow grass, Green grass, 
1.0, 0, 0, 0, 0, 0, 54, 15, 0, 0, 30, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 21, 1, 1, 1
2.0, 198, 122, 75, 0, 0, 54, 15, 0, 0, 30, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 21, 1, 1, 1
3.0, 198, 123, 75, 0, 0, 54, 15, 0, 0, 30, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 21, 1, 1, 1
4.0, 201, 126, 75, 0, 0, 54, 15, 0, 0, 30, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 21, 1, 1, 1
5.0, 203, 127, 75, 0, 0, 54, 15, 0, 0, 30, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 21, 1, 1, 1
6.0, 205, 130, 75, 0, 0, 53, 15, 0, 0, 29, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 21, 1, 1, 1
7.0, 207, 131, 75, 0, 0, 53, 15, 0, 0, 29, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 21, 1, 1, 1
8.0, 209, 134, 75, 0, 0, 53, 15, 0, 0, 29, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 21, 1, 1, 1
9.0, 211, 135, 75, 0, 0, 53, 15, 0, 0, 29, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 21, 1, 1, 1
10.0, 213, 137, 75, 0, 0, 53, 15, 0, 0, 29, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 21, 1, 1, 1
11.0, 215, 139, 75, 0, 0, 53, 15, 0, 0, 29, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 21, 1, 1, 1
12.0, 216, 141, 75, 0, 0, 53, 15, 0, 0, 29, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 21, 1, 1, 1
13.0, 217, 141, 75, 0, 0, 53, 15, 0, 0, 29, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 21, 1, 1, 1
14.0, 218, 142, 75, 0, 0, 52, 15, 0, 0, 28, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 21, 1, 1, 1
15.0, 221, 145, 75, 0, 0, 52, 15, 0, 0, 28, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 21, 1, 1, 1
16.0, 222, 146, 75, 0, 0, 52, 15, 0, 0, 28, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 21, 1, 1, 1
17.0, 223, 149, 73, 0, 0, 52, 15, 0, 0, 28, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 21, 1, 1, 1
18.0, 223, 151, 72, 0, 0, 52, 15, 0, 0, 28, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 21, 1, 1, 1
19.0, 222, 151, 71, 0, 0, 52, 15, 0, 0, 28, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 21, 1, 1, 1
20.0, 222, 152, 70, 0, 0, 52, 15, 0, 0, 28, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 21, 1, 1, 1
21.0, 223, 154, 68, 0, 0, 52, 15, 0, 0, 28, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 21, 1, 1, 1
22.0, 223, 156, 67, 0, 0, 52, 15, 0, 0, 28, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 21, 1, 1, 1
23.0, 224, 158, 66, 0, 0, 52, 15, 0, 0, 28, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 21, 1, 1, 1
24.0, 225, 161, 64, 0, 0, 52, 15, 0, 0, 28, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 21, 1, 1, 1
25.0, 225, 162, 63, 0, 0, 52, 15, 0, 0, 28, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 21, 1, 1, 1
26.0, 226, 164, 62, 0, 0, 51, 15, 0, 0, 27, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 21, 1, 1, 1
27.0, 226, 166, 60, 0, 0, 51, 15, 0, 0, 27, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 21, 1, 1, 1
28.0, 227, 167, 59, 0, 0, 51, 15, 0, 0, 27, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 21, 1, 1, 1
