Time,Biomass Total, Bio Plants, Bio Herb, Bio Pred1, Bio Pred2, Pop Plants, Pop Herb, Pop Pred1, Pop Pred2,Grass, Tree, White Rabbit, Sheep, Cow, Elephant, Fox, Wolf, Coyote, Lion, 
1.0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
2.0, 102, 0, 0, 102, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
3.0, 191, 0, 0, 102, 89, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
4.0, 305, 0, 0, 102, 203, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
5.0, 305, 0, 0, 102, 203, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
6.0, 305, 0, 0, 102, 203, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
7.0, 305, 0, 0, 102, 203, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
8.0, 305, 0, 0, 102, 203, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
9.0, 305, 0, 0, 102, 203, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
10.0, 305, 0, 0, 102, 203, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
11.0, 305, 0, 0, 102, 203, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
12.0, 305, 0, 0, 102, 203, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
13.0, 305, 0, 0, 102, 203, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
14.0, 305, 0, 0, 102, 203, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
15.0, 305, 0, 0, 102, 203, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
16.0, 305, 0, 0, 102, 203, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
17.0, 305, 0, 0, 102, 203, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
18.0, 305, 0, 0, 102, 203, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
