Time, x, y, z, temperature, idS, genusS, nameS, genomeS, action, idO, genusO, nameO, genomeO
0, -12, 0, -43, 25.0, 4-1, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, -51, 0, 59, 25.0, 4-2, g_conill_blau_escas, Blue rabbit2, 0-067-350-010, BORN, , , , , , 1
0, 74, 0, -21, 25.0, 4-3, g_conill_blau_escas, Blue rabbit2, 0-067-350-010, BORN, , , , , , 1
0, 27, 0, 18, 25.0, 4-4, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, 15, 0, -128, 25.0, 4-5, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, 43, 0, -57, 25.0, 4-6, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, 46, 0, 4, 25.0, 4-7, g_conill_blau_escas, Blue rabbit2, 0-067-350-010, BORN, , , , , , 1
0, -52, 0, 45, 25.0, 4-8, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, -16, 0, 46, 25.0, 4-9, g_conill_blau_escas, Blue rabbit2, 0-067-350-010, BORN, , , , , , 1
0, -45, 0, -74, 25.0, 4-10, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, 20, 0, 30, 25.0, 4-11, g_conill_blau_escas, Blue rabbit2, 0-067-350-010, BORN, , , , , , 1
0, -84, 0, -51, 25.0, 4-12, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, -47, 0, 18, 25.0, 4-13, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, -44, 0, -17, 25.0, 4-14, g_conill_blau_escas, Blue rabbit2, 0-067-350-010, BORN, , , , , , 1
0, -5, 0, 42, 25.0, 4-15, g_conill_blau_escas, Blue rabbit2, 0-067-350-010, BORN, , , , , , 1
0, -4, 0, -39, 25.0, 4-16, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, 46, 0, -55, 25.0, 4-17, g_conill_blau_escas, Blue rabbit2, 0-067-350-010, BORN, , , , , , 1
0, 27, 0, -70, 25.0, 4-18, g_conill_blau_escas, Blue rabbit2, 0-067-350-010, BORN, , , , , , 1
0, 29, 0, -12, 25.0, 4-19, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
