Time,Biomass Total, Bio Plants, Bio Herb, Bio Pred1, Bio Pred2, Pop Plants, Pop Herb, Pop Pred1, Pop Pred2,Alien Plant, Alien Herb, Alien Pred, Alien Apex, Blue rabbit2, Fox, Red fox, 
1.0, 0, 0, 0, 0, 0, 0, 50, 12, 0, 0, 0, 0, 0, 50, 6, 6
2.0, 991, 0, 749, 241, 0, 0, 50, 12, 0, 0, 0, 0, 0, 50, 6, 6
3.0, 991, 0, 749, 241, 0, 0, 50, 12, 0, 0, 0, 0, 0, 50, 6, 6
4.0, 991, 0, 749, 241, 0, 0, 50, 12, 0, 0, 0, 0, 0, 50, 6, 6
5.0, 991, 0, 749, 241, 0, 0, 50, 12, 0, 0, 0, 0, 0, 50, 6, 6
6.0, 991, 0, 749, 241, 0, 0, 50, 12, 0, 0, 0, 0, 0, 50, 6, 6
7.0, 991, 0, 749, 241, 0, 0, 50, 12, 0, 0, 0, 0, 0, 50, 6, 6
8.0, 991, 0, 749, 241, 0, 0, 50, 12, 0, 0, 0, 0, 0, 50, 6, 6
9.0, 991, 0, 749, 241, 0, 0, 50, 12, 0, 0, 0, 0, 0, 50, 6, 6
10.0, 991, 0, 749, 241, 0, 0, 50, 12, 0, 0, 0, 0, 0, 50, 6, 6
11.0, 991, 0, 749, 241, 0, 0, 50, 12, 0, 0, 0, 0, 0, 50, 6, 6
