Time, x, y, z, temperature, idS, genusS, nameS, genomeS, action, idO, genusO, nameO, genomeO
0, 806, 88, -595, 34.1, 4-1, g_llop, Wolf, 0-069-354-240, BORN, , , , , , 1
0, 751, 167, -638, 33.3, 4-2, g_llop, Wolf, 0-069-354-240, BORN, , , , , , 1
0, 755, 141, -623, 33.6, 4-3, g_llop, Wolf, 0-069-354-140, BORN, , , , , , 1
0, 826, 90, -583, 34.1, 4-4, g_llop, Wolf, 0-069-354-140, BORN, , , , , , 1
0, 815, 84, -660, 34.2, 4-5, g_llop, Wolf, 0-069-354-140, BORN, , , , , , 1
0, 709, 114, -532, 33.9, 5-6, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 749, 125, -606, 33.7, 5-7, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 835, 120, -617, 33.8, 5-8, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 634, 103, -590, 34.0, 5-9, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 750, 181, -680, 33.2, 5-10, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 819, 68, -689, 34.3, 5-11, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 642, 120, -608, 33.8, 5-12, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 788, 96, -623, 34.0, 5-13, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 662, 123, -637, 33.8, 5-14, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 777, 140, -643, 33.6, 5-15, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 788, 108, -579, 33.9, 5-16, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 799, 99, -673, 34.0, 5-17, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 798, 84, -703, 34.2, 5-18, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 789, 121, -670, 33.8, 5-19, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 817, 57, -712, 34.4, 5-20, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 643, 111, -600, 33.9, 5-21, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 769, 73, -505, 34.3, 5-22, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 684, 150, -656, 33.5, 5-23, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 645, 126, -622, 33.7, 5-24, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 835, 109, -635, 33.9, 5-25, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 637, 123, -659, 33.8, 5-26, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 705, 163, -700, 33.4, 5-27, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 736, 161, -741, 33.4, 5-28, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 649, 98, -546, 34.0, 5-29, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 694, 162, -680, 33.4, 5-30, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 813, 80, -534, 34.2, 5-31, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 687, 146, -686, 33.5, 5-32, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 816, 87, -574, 34.1, 5-33, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 783, 98, -616, 34.0, 5-34, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
